timestamp,user_id,bar_id,guest_estimate,Review ID
2025-01-17 23:57:23,545,566,16,1
2025-01-17 23:43:41,324,564,86,2
2025-01-17 23:42:55,461,571,27,3
2025-01-17 23:38:50,241,564,71,4
2025-01-17 23:35:48,74,563,38,5
2025-01-17 23:35:32,502,570,74,6
2025-01-17 23:22:18,502,564,4,7
2025-01-17 22:55:44,437,568,22,8
2025-01-17 22:41:55,277,567,97,9
2025-01-17 22:41:29,211,570,73,10
2025-01-17 22:35:43,182,565,26,11
2025-01-17 22:28:00,97,564,69,12
2025-01-17 22:19:37,412,565,16,13
2025-01-17 22:11:21,425,570,91,14
2025-01-17 22:07:35,441,569,52,15
2025-01-17 21:58:36,548,572,11,16
2025-01-17 21:56:36,369,563,67,17
2025-01-17 21:54:44,217,565,64,18
2025-01-17 21:51:27,492,565,68,19
2025-01-17 21:51:06,513,567,39,20
2025-01-17 21:49:03,159,569,92,21
2025-01-17 21:48:23,342,565,2,22
2025-01-17 21:38:00,35,569,93,23
2025-01-17 21:37:13,322,571,35,24
2025-01-17 21:29:29,469,564,5,25
2025-01-17 21:26:56,117,567,1,26
2025-01-17 21:23:55,511,568,74,27
2025-01-17 21:21:03,371,567,20,28
2025-01-17 21:16:28,341,570,88,29
2025-01-17 21:14:02,429,572,34,30
2025-01-17 21:12:58,108,563,51,31
2025-01-17 21:12:51,498,571,60,32
2025-01-17 20:49:00,99,565,33,33
2025-01-17 20:45:18,405,571,95,34
2025-01-17 20:44:25,218,563,41,35
2025-01-17 20:28:13,488,570,88,36
2025-01-17 20:22:24,368,570,99,37
2025-01-17 20:22:11,54,566,86,38
2025-01-17 20:17:55,103,565,9,39
2025-01-17 20:07:02,124,568,52,40
2025-01-17 07:46:35,421,568,10,41
2025-01-17 07:46:01,282,568,1,42
2025-01-17 07:45:34,302,571,46,43
2025-01-17 07:45:28,162,570,29,44
2025-01-17 07:43:45,341,571,95,45
2025-01-17 07:39:26,37,567,32,46
2025-01-17 07:26:42,11,567,14,47
2025-01-17 07:26:23,70,568,58,48
2025-01-17 07:21:30,22,567,63,49
2025-01-17 07:20:06,121,567,6,50
2025-01-17 07:13:15,86,566,34,51
2025-01-17 07:10:45,22,570,73,52
2025-01-17 07:04:36,499,563,72,53
2025-01-17 07:03:14,177,568,10,54
2025-01-17 06:58:16,463,565,79,55
2025-01-17 06:30:05,164,569,86,56
2025-01-17 06:19:08,458,563,58,57
2025-01-17 06:07:36,104,569,22,58
2025-01-17 06:03:16,529,564,12,59
2025-01-17 05:44:01,104,569,52,60
2025-01-17 05:41:23,224,567,85,61
2025-01-17 05:36:47,224,563,26,62
2025-01-17 05:35:17,531,563,48,63
2025-01-17 05:18:18,25,564,30,64
2025-01-17 05:16:54,345,564,69,65
2025-01-17 05:12:35,45,564,92,66
2025-01-17 05:10:53,196,567,61,67
2025-01-17 05:08:36,538,567,98,68
2025-01-17 05:04:01,549,568,2,69
2025-01-17 05:03:55,239,568,45,70
2025-01-17 05:01:27,9,564,20,71
2025-01-17 05:01:19,288,571,77,72
2025-01-17 04:57:52,476,571,65,73
2025-01-17 04:43:34,348,565,27,74
2025-01-17 04:34:24,338,567,95,75
2025-01-17 04:31:09,128,571,52,76
2025-01-17 04:20:17,150,571,92,77
2025-01-17 04:15:22,234,565,39,78
2025-01-17 04:09:33,507,563,2,79
2025-01-17 04:01:40,148,563,35,80
2025-01-17 03:58:37,342,568,67,81
2025-01-17 03:56:37,12,563,34,82
2025-01-17 03:49:58,541,564,78,83
2025-01-17 03:40:39,387,565,15,84
2025-01-17 03:40:11,515,568,52,85
2025-01-17 03:36:49,455,567,48,86
2025-01-17 03:32:04,343,569,0,87
2025-01-17 03:11:08,412,569,22,88
